,Date,Mode,Category,Subcategory,Note,Amount,Income/Expense,Currency
492,2018-02-28 20:29:59,Credit Card,Food,Potato,potato 1kg,18.0,Expense,INR
493,2018-02-28 14:52:04,Saving Bank account 1,Salary,Unknown,From workplace ,64556.0,Income,INR
494,2018-02-27 19:44:34,Credit Card,Household,Kirana,Idli pith 1kg,38.0,Expense,INR
495,2018-02-27 13:21:31,Cash,Food,Lunch,5 chapati,30.0,Expense,INR
496,2018-02-26 22:48:53,Saving Bank account 1,Food,Milk,1 lit ,73.0,Expense,INR
497,2018-02-26 19:32:22,Saving Bank account 1,Household,Toiletries,Mirror repair,140.0,Expense,INR
498,2018-02-26 18:25:59,Credit Card,Transportation,Bike,First servicing,443.0,Expense,INR
499,2018-02-26 12:41:33,Saving Bank account 1,Food,beverage,chaas,17.0,Expense,INR
500,2018-02-24 20:02:05,Saving Bank account 1,Food,Bread,Flatbread 12 pcs,40.0,Expense,INR
501,2018-02-23 22:34:02,Cash,Health,Medicine,Refresh Tears Drop,128.0,Expense,INR
502,2018-02-23 07:02:54,Saving Bank account 1,Food,Rajgira ladu,1 packet,20.0,Expense,INR
503,2018-02-23 06:59:56,Saving Bank account 1,Food,Milk,1 lit ,72.0,Expense,INR
504,2018-02-22 23:45:17,Saving Bank account 1,subscription,Tata Sky,Permanent Residence - Tata Play recharge,157.0,Expense,INR
505,2018-02-22 20:39:03,Saving Bank account 1,Food,beverage,Limca,20.0,Expense,INR
506,2018-02-22 20:38:20,Saving Bank account 1,Food,Onions,onion 1 kg,20.0,Expense,INR
507,2018-02-22 19:19:32,Saving Bank account 1,Food,Lunch,Catering Service,192.0,Expense,INR
509,2018-02-20 21:42:59,Saving Bank account 1,Household,Appliances,Kitchen fan + installation+ repair,2600.0,Expense,INR
510,2018-02-19 22:15:12,Saving Bank account 1,Petty cash,Unknown,From Family,170.0,Income,INR
511,2018-02-19 22:15:12,Saving Bank account 1,Beauty,grooming,hair cut+shaving,170.0,Expense,INR
512,2018-02-19 09:47:24,Saving Bank account 1,Food,Milk,1 lit ,72.0,Expense,INR
513,2018-02-19 09:47:14,Saving Bank account 1,Food,snacks,2 kachori,24.0,Expense,INR
514,2018-02-17 23:12:28,Credit Card,Food,Dinner,BBQ,1783.0,Expense,INR
515,2018-02-17 23:10:32,Credit Card,Family,clothes,,3598.0,Expense,INR
516,2018-02-17 19:27:16,Cash,Transportation,Bike,Mall parking,20.0,Expense,INR
517,2018-02-17 19:26:45,Cash,Food,Lunch,5 chapati,30.0,Expense,INR
518,2018-02-16 08:44:18,Saving Bank account 1,Food,snacks,banana chips,45.0,Expense,INR
519,2018-02-16 08:41:51,Saving Bank account 1,Food,Biscuits,Khari packet,45.0,Expense,INR
520,2018-02-16 08:41:33,Saving Bank account 1,Food,Milk,1 lit ,72.0,Expense,INR
521,2018-02-15 19:48:20,Saving Bank account 1,Food,Ice cream,chocobar,35.0,Expense,INR
522,2018-02-15 19:47:54,Saving Bank account 1,Food,Grocery,Half kg tomato + methi 1 judi,30.0,Expense,INR
523,2018-02-15 19:46:43,Credit Card,Household,Kirana,Supermart,117.0,Expense,INR
524,2018-02-14 19:12:16,Saving Bank account 1,Food,snacks,1 chicken shawarma,60.0,Expense,INR
525,2018-02-13 20:24:24,Credit Card,Food,Potato,potato 1kg,25.0,Expense,INR
526,2018-02-13 20:23:23,Saving Bank account 1,Food,Bread,Bread,35.0,Expense,INR
527,2018-02-13 20:22:43,Saving Bank account 1,Food,Grocery,Amul cheese,72.0,Expense,INR
528,2018-02-13 06:58:06,Saving Bank account 1,Food,Milk,1 lit ,72.0,Expense,INR
568,2018-01-31 22:00:22,Cash,Food,Dinner,At restaurant,320.0,Expense,INR
569,2018-01-31 20:01:53,Saving Bank account 1,Transportation,Bike,Parking sticker,50.0,Expense,INR
570,2018-01-31 08:21:09,Saving Bank account 1,Salary,Unknown,From workplace ,64636.0,Income,INR
571,2018-01-31 07:31:34,Saving Bank account 1,Food,Milk,1 lit ,69.0,Expense,INR
572,2018-01-30 21:05:31,Saving Bank account 1,Household,Kitchen,Matchbox packet 10pcs,10.0,Expense,INR
573,2018-01-30 21:05:19,Saving Bank account 1,Food,Grocery,Dahi 2 packets,20.0,Expense,INR
574,2018-01-30 15:31:24,Saving Bank account 1,Share Market,Unknown,,10000.0,Transfer-Out,INR
575,2018-01-30 08:47:37,Cash,Family,Pocket money,,100.0,Expense,INR
576,2018-01-29 07:50:07,Saving Bank account 1,Food,Biscuits,Khari packet,45.0,Expense,INR
577,2018-01-29 07:49:51,Saving Bank account 1,Food,Eggs,6 eggs,42.0,Expense,INR
578,2018-01-29 07:49:22,Saving Bank account 1,Food,Milk,1 lit ,69.0,Expense,INR
579,2018-01-28 19:26:02,Saving Bank account 1,Food,snacks,2 kachori,24.0,Expense,INR
580,2018-01-28 19:24:01,Credit Card,Household,Kirana,Smart point,976.9,Expense,INR
581,2018-01-28 19:16:31,Credit Card,Household,Kirana,Supermart,764.0,Expense,INR
582,2018-01-27 18:15:53,Saving Bank account 1,Transportation,Bike,Two Wheeler Bikedelux third installment,43000.0,Expense,INR
583,2018-01-27 09:57:14,Saving Bank account 1,Share Market,Unknown,,30000.0,Transfer-Out,INR
584,2018-01-26 14:11:01,Cash,Transportation,auto,Place 0 to Current Residence,15.0,Expense,INR
585,2018-01-26 12:38:42,Cash,Transportation,Train,Place 0 to Place 4 return,20.0,Expense,INR
586,2018-01-26 12:37:47,Credit Card,Apparel,Clothing,Pyjama (999)+ carry bag (10),1009.0,Expense,INR
587,2018-01-26 10:06:07,Saving Bank account 1,Food,Rajgira ladu,1 packet,20.0,Expense,INR
588,2018-01-26 10:05:55,Saving Bank account 1,Food,Milk,1 lit ,69.0,Expense,INR
589,2018-01-26 10:03:44,Cash,Food,Potato,potato 1kg,25.0,Expense,INR
590,2018-01-26 10:03:28,Cash,Household,Kirana,Idli pith 1kg,38.0,Expense,INR
591,2018-01-25 13:24:57,Cash,Food,Lunch,Catering Service,70.0,Expense,INR
592,2018-01-24 16:33:41,Share Market Trading,Saving Bank account 1,Unknown,,97.14,Transfer-Out,INR
593,2018-01-24 09:51:12,Cash,Food,Milk,Half lit  milk,35.0,Expense,INR
594,2018-01-23 21:28:59,Credit Card,Household,Kirana,Smart point,273.0,Expense,INR
595,2018-01-22 19:05:26,Saving Bank account 1,Food,flour mill,2 kg Bajari,14.0,Expense,INR
596,2018-01-22 12:08:08,Cash,Food,flour mill,M D sure 3kg atta,162.0,Expense,INR
597,2018-01-22 10:25:23,Saving Bank account 1,Health,Medicine,Cough-sills 4 pcs + sinarest 3 pcs,30.0,Expense,INR
598,2018-01-22 10:25:11,Saving Bank account 1,Food,Milk,1 lit ,69.0,Expense,INR
599,2018-01-21 19:44:43,Credit Card,Food,Dinner,Home Food Delivery,384.0,Expense,INR
600,2018-01-20 23:30:27,Saving Bank account 1,Amazon pay cashback,Unknown,,2.0,Income,INR
601,2018-01-20 20:53:43,Saving Bank account 1,Food,Biscuits,crack-jack 1 packi,10.0,Expense,INR
602,2018-01-20 20:53:20,Saving Bank account 1,Food,Bread,,45.0,Expense,INR
603,2018-01-20 10:18:03,Credit Card,subscription,Tata Sky,Permanent Residence - Tata Play recharge,179.0,Expense,INR
604,2018-01-19 22:24:42,Saving Bank account 1,Food,Bread,Flatbread 6 pcs,17.0,Expense,INR
605,2018-01-19 22:24:20,Saving Bank account 1,Household,Kirana,Amul butter,53.0,Expense,INR
606,2018-01-19 22:23:35,Cash,Food,Bread,Flatbread 6 pcs,20.0,Expense,INR
607,2018-01-19 22:22:37,Cash,Household,Kirana,Cakes,46.0,Expense,INR
608,2018-01-18 21:57:46,Saving Bank account 1,Transportation,Bike,Two Wheeler Bikedelux second installment,50000.0,Expense,INR
609,2018-01-18 15:09:12,Credit Card,Food,Lunch,Fresh veggie pizza,219.0,Expense,INR
610,2018-01-18 07:55:29,Saving Bank account 1,Food,Eggs,6 eggs,42.0,Expense,INR
611,2018-01-18 07:55:00,Saving Bank account 1,Food,Milk,1 lit ,69.0,Expense,INR
612,2018-01-16 09:20:40,Cash,Household,Kirana,Bhagar 1kg 130 + idli pith 1kg 35,165.0,Expense,INR
613,2018-01-16 08:22:48,Saving Bank account 1,Food,Milk,1 lit ,69.0,Expense,INR
614,2018-01-16 07:11:55,Credit Card,Social Life,Leisure,Marathon,298.0,Expense,INR
615,2018-01-15 16:55:27,Credit Card,Food,Sweets,Chitale Srikhand,284.0,Expense,INR
616,2018-01-15 16:54:35,Cash,Food,Grocery,onion 1 kg + half kg potato,38.0,Expense,INR
617,2018-01-15 13:51:31,Cash,Transportation,Train,Place 0 to Place 3 returns,40.0,Expense,INR
618,2018-01-15 13:50:29,Saving Bank account 1,Transportation,auto,Uber auto: Place 4 Station to Current Residence society,266.0,Expense,INR
619,2018-01-14 15:23:43,Cash,Transportation,Train,Place 0 to Santacruz return,40.0,Expense,INR
620,2018-01-14 15:22:04,Credit Card,Household,Hardware,Vibrating electronic message tool,798.0,Expense,INR
621,2018-01-14 15:22:51,Cash,Transportation,auto,station to Decathlon,20.0,Expense,INR
622,2018-01-14 15:22:40,Cash,Transportation,auto,Decathlon to station,25.0,Expense,INR
623,2018-01-14 15:21:39,Credit Card,Apparel,Clothing,Head band,199.0,Expense,INR
624,2018-01-14 12:21:16,Cash,Transportation,auto,Pali hill to Bandra station,23.0,Expense,INR
625,2018-01-14 10:54:48,Cash,Transportation,auto,mumbai University Kalina to Santacruz station,40.0,Expense,INR
626,2018-01-14 07:30:30,Cash,Transportation,auto,Current Residence to Place 0,15.0,Expense,INR
627,2018-01-13 20:57:11,Cash,Health,Medicine,Thyroid Tablets,740.0,Expense,INR
628,2018-01-13 20:55:55,Saving Bank account 1,Apparel,Laundry,clothes ironing,80.0,Expense,INR
676,2017-12-31 13:25:39,Cash,Food,Bread,Flatbread 24 pcs,30.0,Expense,INR
677,2017-12-31 08:15:25,Saving Bank account 1,Salary,Unknown,From workplace ,64623.0,Income,INR
678,2017-12-31 07:21:05,Saving Bank account 1,Interest,Unknown,interest paid,594.0,Income,INR
679,2017-12-30 10:51:45,Cash,Food,vegetables,Dudhi 20 + mirchi 5,25.0,Expense,INR
680,2017-12-29 21:36:07,Saving Bank account 1,Family,misc,For utensils,450.0,Expense,INR
681,2017-12-29 18:22:49,Cash,Food,snacks,3 pavwada,30.0,Expense,INR
682,2017-12-29 18:22:25,Cash,Household,Kirana,,182.0,Expense,INR
683,2017-12-29 18:22:11,Cash,Food,flour mill,,5.0,Expense,INR
684,2017-12-29 13:00:01,Saving Bank account 1,subscription,Mobile Service Provider,Data booster pack,181.0,Expense,INR
685,2017-12-28 18:27:52,Cash,Food,vegetables,Ginger,10.0,Expense,INR
686,2017-12-27 18:43:16,Cash,Food,Grocery,Tata salt 28+ 6 eggs 42,70.0,Expense,INR
687,2017-12-26 21:55:12,Saving Bank account 1,Fixed Deposit,Unknown,,250000.0,Transfer-Out,INR
688,2017-12-26 21:50:33,Fixed Deposit,Saving Bank account 1,Unknown,,150000.0,Transfer-Out,INR
689,2017-12-26 19:35:40,Credit Card,subscription,Newspaper,"ET Prime (1+1) till 24 Dec,2024",1749.0,Expense,INR
690,2017-12-25 17:43:26,Credit Card,subscription,Tata Sky,Permanent Residence - Tata Play recharge,156.0,Expense,INR
691,2017-12-25 11:53:26,Saving Bank account 1,subscription,Mobile Service Provider,Data booster pack,181.0,Expense,INR
692,2017-12-25 05:48:15,Cash,Transportation,auto,Place 2 station to Permanent Residence,80.0,Expense,INR
693,2017-12-24 21:24:36,Saving Bank account 1,Transportation,auto,2 Current Residence to Place 0,30.0,Expense,INR
694,2017-12-24 19:28:25,Credit Card,Gift,Unknown,Birthday gift,1364.0,Expense,INR
695,2017-12-24 19:28:11,Cash,Food,snacks,Gupta bhel,25.0,Expense,INR
696,2017-12-24 19:27:42,Cash,Household,Toiletries,Toothbrush (buy 2 get 1),100.0,Expense,INR
697,2017-12-24 08:06:55,Saving Bank account 1,Food,Milk,Half lit  milk,35.0,Expense,INR
698,2017-12-23 11:06:42,Credit Card,Gift,Unknown,Birthday gift,798.0,Expense,INR
699,2017-12-22 14:42:54,Saving Bank account 1,Food,Lunch,Home Food Delivery,380.0,Expense,INR
701,2017-12-21 20:45:11,Saving Bank account 1,Food,snacks,Vadapav,15.0,Expense,INR
702,2017-12-21 20:45:25,Cash,Household,Kirana,Surti kolam 2kg (54rsx2)+Monaco biscuits,118.0,Expense,INR
703,2017-12-21 14:34:40,Cash,Food,Lunch,Catering Service,65.0,Expense,INR
704,2017-12-21 14:34:05,Cash,Food,Milk,milk 1lit ,70.0,Expense,INR
705,2017-12-20 10:31:16,Cash,Food,Lunch,Catering Service,95.0,Expense,INR
706,2017-12-20 10:31:16,Credit Card,subscription,Edtech Course,Renewal,28400.0,Expense,INR
707,2017-12-19 20:59:27,Saving Bank account 1,Gpay Reward,Unknown,,6.0,Income,INR
708,2017-12-19 20:25:07,Cash,Family,Pocket money,,500.0,Expense,INR
709,2017-12-19 18:57:13,Cash,Food,snacks,Chicken Frankie,45.0,Expense,INR
710,2017-12-19 17:53:14,Share Market Trading,Saving Bank account 1,Unknown,Fund Withdrawal,108.96,Transfer-Out,INR
711,2017-12-19 17:53:27,Cash,Transportation,Train,Place 0 to WS return,10.0,Expense,INR
712,2017-12-19 06:38:08,Saving Bank account 1,Food,Milk,milk 1lit ,69.0,Expense,INR
713,2017-12-18 06:00:09,Credit Card,Apparel,Clothing,undergarment single,312.0,Expense,INR
714,2017-12-17 22:28:06,Credit Card,Food,Dinner,At restaurant,505.0,Expense,INR
715,2017-12-17 22:27:36,Cash,Transportation,auto,within city,30.0,Expense,INR
716,2017-12-17 22:26:42,Credit Card,Household,Kirana,Dmart,878.0,Expense,INR
717,2017-12-17 17:49:59,Cash,Food,Tea,2 cutting chai,20.0,Expense,INR
718,2017-12-17 17:48:57,Cash,Transportation,auto,college to inorbit,25.0,Expense,INR
719,2017-12-17 16:28:43,Cash,Transportation,Train,Place 0 to Place 4 return,20.0,Expense,INR
720,2017-12-17 16:28:24,Cash,Transportation,auto,Current Residence to Place 0,15.0,Expense,INR
721,2017-12-16 07:24:10,Saving Bank account 1,Food,Milk,milk 1lit ,69.0,Expense,INR
722,2017-12-15 07:24:31,Cash,Other,Unknown,Nosebud,10.0,Expense,INR
723,2017-12-15 07:24:31,Cash,Food,Ice cream,chocobar,15.0,Expense,INR
724,2017-12-14 20:17:25,Saving Bank account 1,Petty cash,Unknown,From Family,3000.0,Income,INR
725,2017-12-14 20:17:25,Cash,Food,Grocery,Paneer + 1 kg onion,145.0,Expense,INR
726,2017-12-13 22:00:09,Cash,Apparel,Laundry,clothes ironing,98.0,Expense,INR
727,2017-12-13 17:42:27,Cash,Family,Pocket money,,20.0,Expense,INR
728,2017-12-13 07:31:27,Saving Bank account 1,Food,Milk,milk 1lit ,69.0,Expense,INR
769,2017-11-30 20:20:53,Saving Bank account 1,Health,Medicine,5 Meftal spas,22.0,Expense,INR
770,2017-11-30 20:20:53,Saving Bank account 1,Health,Health,Glasses remaining,800.0,Expense,INR
771,2017-11-30 20:20:53,Credit Card,Health,Health,Family's Glasses,22700.0,Expense,INR
772,2017-11-30 16:56:20,Saving Bank account 1,Money transfer,Home,,10000.0,Expense,INR
773,2017-11-30 16:17:01,Saving Bank account 1,Saving Bank account 2,Unknown,,77.33,Transfer-Out,INR
774,2017-11-30 08:55:08,Cash,Family,Pocket money,Change,50.0,Expense,INR
775,2017-11-30 08:15:06,Saving Bank account 1,Salary,Unknown,From workplace ,64636.0,Income,INR
776,2017-11-28 17:35:35,Saving Bank account 1,Food,Bread,Sweet bread cake pav kg,90.0,Expense,INR
777,2017-11-28 17:35:35,Saving Bank account 1,Food,Eggs,6 eggs,42.0,Expense,INR
778,2017-11-28 17:35:35,Saving Bank account 1,Food,Bread,,18.0,Expense,INR
779,2017-11-28 17:35:35,Credit Card,Household,Kirana,Toast+ biscuits,115.0,Expense,INR
780,2017-11-28 17:35:35,Saving Bank account 1,Food,vegetables,,140.0,Expense,INR
781,2017-11-28 08:30:27,Saving Bank account 1,Food,Milk,1 lit ,69.0,Expense,INR
782,2017-11-27 21:05:52,Saving Bank account 1,Health,Health,Glasses advance,1000.0,Expense,INR
783,2017-11-27 21:05:37,Saving Bank account 1,Gpay Reward,Unknown,,7.0,Income,INR
784,2017-11-27 16:07:30,Cash,Transportation,auto,2 Place 0 to Current Residence,30.0,Expense,INR
785,2017-11-27 13:39:29,Cash,Transportation,auto,Place 6 station to  mall,30.0,Expense,INR
786,2017-11-27 13:38:55,Cash,Transportation,Train,1 Place 0 to Place 6,5.0,Expense,INR
787,2017-11-27 13:38:20,Credit Card,Apparel,Footwear,Sandals Hush puppies,2699.0,Expense,INR
788,2017-11-26 22:26:15,Saving Bank account 1,Gpay Reward,Unknown,,8.0,Income,INR
789,2017-11-26 20:30:45,Cash,Transportation,auto,eye institute to Place 6 station,40.0,Expense,INR
790,2017-11-26 20:30:12,Credit Card,Health,Medicine,eye drop,159.0,Expense,INR
791,2017-11-26 17:29:44,Cash,Transportation,auto,Place 6 station to eye institute,40.0,Expense,INR
792,2017-11-26 17:25:47,Saving Bank account 1,Health,Hospital,"Routine checkup - eye institute, Place 6",400.0,Expense,INR
793,2017-11-26 16:59:29,Cash,Transportation,Train,1 Place 0 to Place 6 return,10.0,Expense,INR
794,2017-11-25 10:25:57,Credit Card,subscription,Tata Sky,Permanent Residence - Tata Play recharge,156.0,Expense,INR
795,2017-11-25 09:29:45,Saving Bank account 1,Food,Milk,1 lit ,69.0,Expense,INR
796,2017-11-25 09:29:08,Cash,Apparel,Laundry,clothes ironing : Rs 6 per item,90.0,Expense,INR
797,2017-11-25 08:35:44,Cash,Food,vegetables,Half kg tomato,10.0,Expense,INR
798,2017-11-24 12:22:39,Credit Card,Culture,Movie,2 PVR Place 6,314.0,Expense,INR
799,2017-11-23 12:22:39,Cash,Food,Bread,Flatbread 8 pcs,23.0,Expense,INR
800,2017-11-23 12:22:39,Cash,Food,Grocery,Dahi + remaining balance,17.0,Expense,INR
801,2017-11-23 12:22:39,Cash,Food,flour mill,3 kg Bajari,21.0,Expense,INR
802,2017-11-23 06:16:26,Saving Bank account 1,Food,Milk,1 lit ,69.0,Expense,INR
805,2017-11-20 18:39:39,Saving Bank account 1,Food,Milk,milk 1lit ,70.0,Expense,INR
806,2017-11-20 18:39:05,Cash,scrap,Unknown,,200.0,Income,INR
807,2017-11-19 20:23:22,Saving Bank account 1,Food,snacks,1 Panipuri,20.0,Expense,INR
808,2017-11-19 20:23:06,Cash,Transportation,auto,2 Place 0 to Current Residence,30.0,Expense,INR
809,2017-11-19 20:22:43,Cash,Transportation,Train,2 Place 0 to Place 6 return,20.0,Expense,INR
810,2017-11-19 20:22:19,Cash,Transportation,auto,2 Current Residence to Place 0,30.0,Expense,INR
811,2017-11-19 13:58:30,Credit Card,Culture,Movie,2 PVR Place 6,436.0,Expense,INR
812,2017-11-18 22:20:50,Credit Card,Household,Kirana,Khobra + shengdana+ vim bar,242.0,Expense,INR
813,2017-11-18 20:32:08,Saving Bank account 1,Food,Eggs,6 eggs,39.0,Expense,INR
814,2017-11-18 15:03:07,Saving Bank account 1,subscription,Mahanagar Gas,,147.0,Expense,INR
815,2017-11-18 11:06:13,Saving Bank account 1,Self-development,Unknown,Marathon,950.0,Expense,INR
816,2017-11-18 08:04:11,Saving Bank account 1,Food,Milk,1.5 lit milk ,104.0,Expense,INR
817,2017-11-17 22:26:31,Saving Bank account 1,Food,Ice cream,Vanila family pack,105.0,Expense,INR
818,2017-11-17 22:25:48,Saving Bank account 1,Household,Kirana,Agarbatti 55 + dahi 25,80.0,Expense,INR
819,2017-11-17 13:37:44,Saving Bank account 1,Food,flour mill,4 kg Gehu,28.0,Expense,INR
820,2017-11-16 05:55:14,Saving Bank account 1,Food,Milk,1 lit ,70.0,Expense,INR
821,2017-11-15 20:48:26,Credit Card,Food,Dinner,Home Food Delivery,524.0,Expense,INR
822,2017-11-15 20:47:14,Saving Bank account 1,Household,Kirana,Toast 55 + Kisan Jam 85 + all out 75,209.0,Expense,INR
823,2017-11-15 20:46:34,Saving Bank account 1,Education,Stationary,Photo paper print,45.0,Expense,INR
824,2017-11-15 20:46:03,Saving Bank account 1,Food,Bread,brown bread,25.0,Expense,INR
825,2017-11-15 20:43:38,Credit Card,Household,Kirana,Amul butter 52 + Good Day biscuits 43,95.0,Expense,INR
826,2017-11-14 22:09:11,Cash,Food,fruits,,125.0,Expense,INR
827,2017-11-14 22:08:41,Cash,Family,Pocket money,,770.0,Expense,INR
828,2017-11-14 20:19:17,Saving Bank account 1,Food,Grocery,vegetables,160.0,Expense,INR
829,2017-11-13 20:18:43,Saving Bank account 1,Household,Kirana,Pani Puri packet + Bundi + chivda,180.0,Expense,INR
830,2017-11-13 20:18:06,Saving Bank account 1,Food,Milk,milk 1lit varna,70.0,Expense,INR
831,2017-11-13 20:17:37,Saving Bank account 1,Food,Grocery,onion 1 kg + half kg potato,50.0,Expense,INR
832,2017-11-13 20:17:00,Credit Card,Household,Kirana,Maggie + lizol,268.0,Expense,INR
833,2017-11-13 20:16:48,Saving Bank account 1,Food,Grocery,Shev bhaji sev pav kg,60.0,Expense,INR
871,2017-10-29 22:56:05,Saving Bank account 1,subscription,Mobile Service Provider,Mobile Service Provider freedom pack,296.0,Expense,INR
872,2017-10-29 22:24:14,Credit Card,subscription,Mobile Service Provider,Mobile Service Provider freedom pack,296.0,Expense,INR
873,2017-10-29 21:54:53,Credit Card,subscription,Hotstar,subscription 1yr,795.49,Expense,INR
874,2017-10-27 12:55:49,Cash,Transportation,auto,Permanent Residence to bus stand,40.0,Expense,INR
875,2017-10-26 19:24:35,Cash,Transportation,auto,within city,50.0,Expense,INR
876,2017-10-26 19:23:26,Cash,Festivals,Diwali,Offering,50.0,Expense,INR
877,2017-10-26 16:34:04,Cash,Festivals,Diwali,Offering,10.0,Expense,INR
878,2017-10-26 13:01:57,Cash,Festivals,Diwali,Offering,500.0,Expense,INR
879,2017-10-25 21:51:03,Saving Bank account 1,Petty cash,Unknown,From Family,3000.0,Income,INR
880,2017-10-24 18:27:42,Saving Bank account 1,subscription,Mobile Service Provider,Mobile Service Provider freedom pack,296.0,Expense,INR
881,2017-10-24 10:58:47,Cash,Food,snacks,Dahi,10.0,Expense,INR
882,2017-10-23 21:28:37,Cash,Household,Toiletries,Shampoo sachets,9.0,Expense,INR
883,2017-10-23 19:00:08,Cash,Apparel,Footwear,Slippers,220.0,Expense,INR
884,2017-10-23 18:57:11,Cash,Festivals,Diwali,Aakash kandil,200.0,Expense,INR
885,2017-10-23 18:54:46,Cash,Household,Toiletries,Dettol liquid handwash refill,99.0,Expense,INR
886,2017-10-23 11:03:59,Cash,Household,Kitchen,flour mill,27.0,Expense,INR
887,2017-10-23 09:02:11,Cash,Household,Kirana,,50.0,Expense,INR
888,2017-10-23 04:23:50,Saving Bank account 1,subscription,Tata Sky,Permanent Residence - Tata Play recharge,191.0,Expense,INR
889,2017-10-22 18:35:25,Cash,Transportation,auto,Current Residence to Place 1 bus stop highway,50.0,Expense,INR
891,2017-10-21 21:32:40,Credit Card,Other,Unknown,ipad cover + case,1888.0,Expense,INR
892,2017-10-21 19:30:30,Cash,Food,Grocery,Onion half kg 13 + milkybar 10 + Colgate maxfresh 10,33.0,Expense,INR
893,2017-10-21 13:43:21,Cash,maid,Unknown,,2000.0,Expense,INR
894,2017-10-20 23:03:35,Saving Bank account 1,Gift,Unknown,farewell contribution,200.0,Expense,INR
895,2017-10-20 19:54:58,Cash,Festivals,Diwali,Rangoli + stamp,20.0,Expense,INR
896,2017-10-19 21:44:36,Cash,Food,snacks,Gupta bhel,25.0,Expense,INR
897,2017-10-18 19:24:45,Credit Card,Transportation,train,2 Place 2 to Place 3 : Sevagram express 3AC,1333.0,Expense,INR
898,2017-10-18 19:16:25,Credit Card,Transportation,train,2 Place 3 to Place 2 : Amritsar express 3AC,1231.0,Expense,INR
899,2017-10-17 13:18:33,Saving Bank account 1,Petty cash,Unknown,From Family,3000.0,Income,INR
900,2017-10-13 12:33:18,Cash,Family,Pocket money,,70.0,Expense,INR
925,2017-09-30 20:24:16,Saving Bank account 1,Health,Medicine,Candid dusting powder,59.0,Expense,INR
926,2017-09-30 20:24:02,Saving Bank account 1,Household,Kirana,Supermart,155.0,Expense,INR
927,2017-09-30 20:23:13,Saving Bank account 1,Food,Grocery,vegetables,135.0,Expense,INR
928,2017-09-30 20:22:53,Cash,Food,Grocery,vegetables,30.0,Expense,INR
929,2017-09-30 17:03:55,Cash,Household,Kitchen,Cooktop installation+ base,600.0,Expense,INR
930,2017-09-30 10:12:34,Saving Bank account 1,Salary,Unknown,From workplace ,61578.0,Income,INR
931,2017-09-30 07:40:38,Saving Bank account 1,Interest,Unknown,interest paid,778.0,Income,INR
932,2017-09-29 21:53:47,Cash,Apparel,Laundry,clothes ironing : Rs 6 per item,60.0,Expense,INR
933,2017-09-29 21:53:28,Cash,Food,snacks,Gupta bhel,25.0,Expense,INR
934,2017-09-29 21:53:08,Cash,Food,Ice cream,Vanila cup,10.0,Expense,INR
935,2017-09-29 21:52:32,Saving Bank account 1,Health,Medicine,3 tablet Nor tz,21.0,Expense,INR
936,2017-09-28 18:32:23,Saving Bank account 1,subscription,Tata Sky,Current Residence - Tata Play recharge,215.0,Expense,INR
937,2017-09-28 16:58:46,Saving Bank account 1,Transportation,Travels,2 Place 1 to Place 2 - Novelty tour and travels,2388.0,Expense,INR
938,2017-09-27 20:17:00,Cash,Household,Kirana,,312.0,Expense,INR
939,2017-09-27 15:55:05,Saving Bank account 1,Gpay Reward,Unknown,,6.0,Income,INR
940,2017-09-27 15:53:49,Saving Bank account 1,Gift,Unknown,farewell contribution,334.0,Expense,INR
941,2017-09-25 17:57:52,Saving Bank account 1,Food,fruits,half kg chiku,30.0,Expense,INR
942,2017-09-25 17:56:56,Saving Bank account 1,Food,fruits,Apple 2 kg (110) + Banana 1kg (80),300.0,Expense,INR
943,2017-09-24 21:05:55,Cash,Transportation,auto,2 Place 0 to Current Residence,30.0,Expense,INR
944,2017-09-24 21:05:24,Cash,Transportation,Train,Place 0 to WS return,10.0,Expense,INR
945,2017-09-24 15:58:33,Credit Card,Culture,Movie,2,560.0,Expense,INR
946,2017-09-24 11:36:54,Cash,Food,Sweets,Half kg pedhe,280.0,Expense,INR
947,2017-09-24 11:36:37,Saving Bank account 1,Beauty,grooming,hair cut,100.0,Expense,INR
948,2017-09-23 21:04:58,Saving Bank account 1,Food,Dinner,Chicken masala gravy,100.0,Expense,INR
950,2017-09-21 15:07:52,Cash,Other,Unknown,Umbrella cover repair,10.0,Expense,INR
951,2017-09-21 15:06:36,Cash,Transportation,auto,Place 0 to Current Residence,15.0,Expense,INR
952,2017-09-21 12:45:28,Cash,Food,snacks,Vadapav,15.0,Expense,INR
953,2017-09-21 12:45:22,Cash,Food,Tea,,10.0,Expense,INR
954,2017-09-21 08:05:45,Cash,Transportation,Train,Place 0 to dadar return,30.0,Expense,INR
955,2017-09-21 07:52:53,Cash,Family,Pocket money,,70.0,Expense,INR
956,2017-09-20 19:14:29,Saving Bank account 1,Health,Health,Surgical gloves pair,20.0,Expense,INR
957,2017-09-20 14:01:38,Saving Bank account 1,Other,Unknown,CSR,100.0,Expense,INR
958,2017-09-20 14:01:26,Cash,Family,Pocket money,,20.0,Expense,INR
959,2017-09-18 20:35:36,Saving Bank account 1,Health,Medicine,,55.0,Expense,INR
960,2017-09-18 10:22:42,Cash,Food,fruits,half kg chiku,60.0,Expense,INR
961,2017-09-18 10:22:20,Cash,Food,fruits,Nariyal,55.0,Expense,INR
